Point_ID,UMAP_1,UMAP_2,UMAP_3,Dominant_Logic,Passage
0198ad61-f572-444e-b618-7beab5133603,0.4062771,0.099378906,0.033251654,CERTAINTY,And then getting to the real pain point for the customer to innovate around that we don't get good data on that.
031bf46f-fa16-46fb-8d36-5e091694c2ef,0.41285652,0.062979266,0.059578005,FINANCIAL PERFORMANCE FIRST,large parts of the business don't account for the cost of labor...difficlult to engage with broader XYL
035c88c0-5205-44ef-bc63-6a129f3b3a74,0.42418623,0.11497025,0.031792153,ENTREPRENEUR,ideally you would form a team that came from different parts of the business to deliver that particular solution
03f9a008-73fa-4c77-bdbb-a9e7a58d0850,0.39102784,0.06711453,0.060019743,FINANCIAL PERFORMANCE FIRST,non financial value is not enough to drive change
046af3a4-ede0-467f-a4f1-188a0973d198,0.40138218,0.09156919,0.05085376,CERTAINTY,most new solutions go out the window in our market (water industry is old school)
05557180-6a4a-40d2-b102-e538e3699390,0.42746535,0.06828928,0.043414753,ENTREPRENEUR,Sensus is doing (interesting) R&D work…
06d599c1-d651-468e-8bb6-dbad44aefb77,0.38280135,0.090932496,0.054108832,FIRST-HAND KNOWLEDGE,they think they will sell their solutions to others inside Xylem...stop being a child
08225269-628d-4674-b353-e2baffb09342,0.40006268,0.11687804,0.051373456,(UNIQUE),sales people have different filters…sales people are wired on relationship and selling…not on solving
121c16e9-9d18-490d-a4af-85a1824c8f54,0.40565565,0.060171142,0.05526711,FINANCIAL PERFORMANCE FIRST,CTs are kings and heroes and sell whatever they want (XYL never kills products)
130fbb4c-2e96-4f03-a932-fdbb3b9a16f3,0.3749659,0.07736914,0.07274114,FINANCIAL PERFORMANCE FIRST,shareholders are in it for the short term rather than the long term
14c97b3f-32a0-4cbb-a39f-ecf14630ac22,0.42914146,0.059176616,0.0582474,CERTAINTY,put people who move fast and are not afraid to take a little bit of risk in that DGC
15fc6771-6cf1-46e4-982b-c830c716d928,0.3908604,0.096937366,0.06544645,CERTAINTY,utility customers spend public money; they are constrained
1aea1d62-e870-44ea-a3d1-bd98c018f8cb,0.4163582,0.10976615,0.051931676,FINANCIAL PERFORMANCE FIRST,will the remaining make the business case in 7 years?
1b8f107f-f263-4f40-8f60-db91be524e6b,0.43267956,0.07694975,0.048386604,ENTREPRENEUR,I give her (Sivan) air cover and deflect any incoming flak
1b9f106e-cec3-498c-b497-eaf95f234eac,0.40980777,0.07114662,0.030915838,FINANCIAL PERFORMANCE FIRST/ CERTAINTY,if i did we would start innovating more
1d891553-f42d-4ce8-b1a3-7a6bb5100858,0.4166054,0.08773937,0.0629959,FIRST-HAND KNOWLEDGE,by centralizing into a DGS they lose control (Avensor gateway example...)
1e3d7afd-105e-4649-b6c5-73096ba47018,0.40910992,0.11416689,0.04555713,FINANCIAL PERFORMANCE FIRST,I think resources certainly get in the way
202708ea-bbd4-4935-a98f-8d56481e4449,0.43874288,0.07697972,0.044542085,EXPERIMENT AND ITERATE,"i would hope its just about showing people it can be done…once you show people how to do it they go, 'oh, that's how you do it…'"
21edcbad-0bcb-4ab9-bbb2-8a64ebeb924e,0.4374258,0.08077069,0.058443278,CERTAINTY,"I would be more happy to be unhappy...we go rogue because we have to (because decisions aren't made in the center or take too long, so we are forced to act)"
2243ecd0-9cd4-4523-94db-dbe7d88c8fd1,0.40323067,0.092700504,0.044221874,CERTAINTY,lets really invest time to find out what our customers and key markets would like us to do for them… and then digitize it (connected solutions)
23afe962-8508-4a43-ba2d-2366ee1b209c,0.42100653,0.12293149,0.051492102,CERTAINTY,what we don't know is how the customer is solving it
253cbffb-ec01-4beb-86ae-c0cb21a4912e,0.4138237,0.10981921,0.046414733,CERTAINTY,whats the market really ready for? We should work at the pace at which the marke is ready
25b4fc21-8429-4de0-b950-6067ff65ca36,0.40035504,0.10534325,0.031984612,RULES,if I had the ecommerce thing…is there a certain segment personnel I could free up?
266f56f2-c440-45b6-9c36-0f8f20f45937,0.39589235,0.064541124,0.031152278,UNK,Apple innovated around the trends that they saw
26df07be-71cb-4b41-9815-a69862e9fba4,0.4169148,0.103067346,0.03145964,RULES,we need one decision-maker...someone with P&L responsibilities aligned to the priorities
29089712-32ff-4e05-9f4a-a1e8551d6b20,0.39327884,0.06870819,0.034420572,CERTAINTY,before Microsoft and Apple did that (dictated to the market) they saw enough trends to see where the market was going to go…they did their homework
2ad2ab14-be96-4d6b-b9a5-f6700567a084,0.4319958,0.07011471,0.059639536,(NOT YET IDENTIFIED),if we need to do things differently we take that as acceptable risk
2cfcd33c-caaa-4d95-a52a-45f6dfc47157,0.4401617,0.07817988,0.042235196,EXPERIMENT AND ITERATE,maybe one day we could pilot something….
2e79c8c5-3182-4593-bb35-e300ff7ffda5,0.39509916,0.046966713,0.042648837,ENTREPRENEUR,next generation products are not innovation
2e7c219d-8ef1-45aa-a9c2-ccaceb0f1273,0.41157058,0.0960183,0.04554379,FINANCIAL PERFORMANCE FIRST/CERTAINTY,we know energy efficiency will be here forever...
2f6c9795-697d-48b2-8775-3219be68958d,0.44313708,0.11452023,0.060721174,FINANCIAL PERFORMANCE FIRST/ CERTAINTY,we just don't spend enough time to figure that out
304a7ea0-7b8e-4f4c-9cb9-cba3a21e18e8,0.42679194,0.09192612,0.07734776,ENTREPRENEUR,people got fed up and left
345276bb-1a26-47b1-b133-2cd916e05332,0.42163458,0.104287855,0.027748758,DOMINANT LOGICS (CULTURAL MODEL),"PASSAGE (assumption, belief, goal, idealization, metonymy) or DISCOURSE (paraphrased)"
358381d6-e51a-4e35-adb3-8cbaf48c4030,0.4266405,0.11785109,0.032868203,CERTAINTY,there is no good or bad answer; it's just how you implement it (franchise vs centralized)
38192597-8440-4b0f-9eeb-b959077aedf5,0.42698517,0.079798564,0.05968007,FIRST-HAND KNOWLEDGE,they (WI/Avensor) want to develop all the functionality themselves
39182a32-0ed9-4092-97f7-9e64f23beda5,0.4180653,0.11331903,0.052032456,FINANCIAL PERFORMANCE FIRST,we have made a bet in our marketing plan…and then we'll see…but we need a little more slack capacity
395a2127-76bb-4f75-b96a-9093706fb024,0.42449698,0.09055232,0.07949488,ENTREPRENEUR,…and it rubbed some people the wrong way (jealousy)
39d44308-929c-45f3-9fd2-081e3621ef86,0.42248118,0.118132494,0.045823332,CERTAINTY,its how you solve those real problems…you need to live in the customer/user environment to figure that out
39fb9847-4246-49d6-99a9-11704ad4ecca,0.41289985,0.11554974,0.05898617,CERTAINTY,"we need to be practical first; ask, 'why do you believe this can be sold again?'"
457c7fa6-db89-4116-bd35-d15e3a4818ad,0.44545212,0.109498955,0.06266125,CERTAINTY,(2) ..instead we do a little bit of both
46191181-5c52-4410-859b-7455bcdb82c8,0.41531855,0.10063369,0.082547046,FINANCIAL PERFORMANCE FIRST,"culture here is if i do it with my team i increase my budget, or if i let someone else do it I will lose my budget"
4640cdbf-0173-4b67-8deb-5091befb365e,0.4137246,0.10229765,0.08461556,FINANCIAL PERFORMANCE FIRST,if I don't put it in the budget it won't get funded
46bb4868-7f68-4891-acdf-a14fcf3b23df,0.40323246,0.088175945,0.030282144,CERTAINTY,if we did (get good customer pain point data) we would innovate more
47b16f9c-2c38-4f6d-a2de-a808cd856a0f,0.39090693,0.074705586,0.06291417,CERTAINTY/FINANCIAL PERFORMANCE FIRST,we are losing the additional value we could be gaining with our customers (becaise we don't invest in new technolgies/solutions)
484fb169-a004-4efb-b8b9-1f79a93c8255,0.40947393,0.0907388,0.04160153,RULES,by looking at companies that use water source heat pumps we can put our circulaters into them… that's clean as a whistle.
4b39d9a4-6c7f-4d46-b526-771172d9582a,0.4338532,0.121808596,0.039764058,CERTAINTY,There are 3 different versions of need; NPD is the intersection of 3 segments (reuse example)
4b4dcbae-9f20-4e76-bf6a-4c8bc63cb8a9,0.41011614,0.11127385,0.03390638,FINANCIAL PERFORMANCE FIRST,"I'll try to get enough capacity so I can send people out…(Goulds story from younger days….""maybe it started with a particular problem…"" but also ask, ""what else is bigging you?"". By spending enough time with customers we would figure out is there a better way to do this?)"
4bc1d522-ecb0-4e0f-82b8-70454672a134,0.43928593,0.07953147,0.0591254,CERTAINTY,the way it has worked in the past doesn’t have to be the way it works today
4db689c8-d253-4ae4-a835-2255889118c4,0.38009197,0.089303896,0.05548503,FINANCIAL PERFORMANCE FIRST,you have to demonstrate Xylem value to drive change
4ff04c68-138b-4f4b-ae35-72bc8408ff75,0.4260715,0.10293214,0.04473062,FINANCIAL PERFORMANCE FIRST,"but even if we have a nice opportunity, we haven't really sent people out to the 10 top WSHP companies to understand how our product might be used…we haven't gotten that far…"
500e2e06-d415-4c59-9d16-23a8a38e2618,0.37858868,0.092407525,0.05498109,ENTREPRENEUR,what brings value to the customer? The xylem solutions stop at the problem stage. If I can show you the data you (customer) can come up with the solution yourself
50c5889b-f4a2-436d-9ec9-483fb54202ec,0.38526857,0.08451861,0.053961087,CERTAINTY,people want to engage with humans in a buying decision…the generation that has the buying power is used to buying that way…there is a social aspect to this
523d1aee-6171-4491-8157-ad82d130fa95,0.40844852,0.099404864,0.042718563,RULES,lets make ourselves more productive to free up the capital to go be faster on the things that matter
5348147d-b72d-413d-918e-f8297a89888c,0.4171926,0.062237784,0.043519504,LOCAL,we are innovative...and we feel left outside...because we are tainted by the mechanical legacy
54fbe6ef-9a4f-49d8-9338-35914207fd8d,0.3867068,0.093206994,0.079618566,CERTAINTY,"we sprinkle out investment,  1M here, 1M there..."
55f18c6a-b789-4e90-8287-87e06b8e5dca,0.4014188,0.10124523,0.046296705,FINANCIAL PERFORMANCE FIRST,The commercial teams are trying to meet today's sales and orders objectives. They are very near-term focused.
5622a856-5ec5-4ee3-beed-8c8fe012ac2d,0.42446133,0.063392475,0.05154348,ENTREPRENEUR,"trying to something radically different (to the norm), when you get down to it, is often really hard"
5a0793ac-0e0d-46da-a992-4b535598cb5c,0.4037731,0.10291543,0.026661322,CERTAINTY,"we need people who's full time job is to look at pain points…to see what the pain points really look like, by process or market segment…"
5df07830-d920-49c0-a37b-a50ed6042e67,0.4166354,0.11277025,0.056120772,ENTREPRENEUR,there are many reasons why our customers behave in an ineffective way…our solutuon may not be a magic wand…but can be a catalyst
5fd3322e-2a7b-4bd6-bde3-04cf8ee885ef,0.41621473,0.06353983,0.055382933,ENTREPRENEUR,the processes and traditions in XYL stand in the way of that (entrep and risk)
61727164-90dd-4957-9bda-cb13f6c2e8eb,0.44794893,0.1181228,0.051078502,FINANCIAL PERFORMANCE FIRST,"we have to meet the quarter...which is pressure, so working the space you know (vs what you don't) is easier"
63ecbd97-6da3-499b-8592-124708797cc9,0.41546413,0.07987015,0.05451848,CERTAINTY,eadh plant goes through their own process of selection...and it is very time consuming
69391911-bf61-4ddf-ae6b-5f25547f963b,0.40653756,0.09500224,0.031338327,CERTAINTY,how many future regulatory frameworks are coming and how do we optimize?
6a9dec9c-b99a-47e2-a6fd-e47166566b02,0.41335812,0.10504345,0.08205184,FINANCIAL PERFORMANCE FIRST,everybody wants their own budgets...we never think can we pull together to make the pie bigger...
6c744585-39c5-4ccf-a458-690ac43d7b5f,0.41196385,0.10053042,0.08648079,FINANCIAL PERFORMANCE FIRST,if you don't get written in to budgets you don't sell any work no matter how hard you try
6dc0f549-1baf-4263-8267-99924f01e78a,0.40888488,0.07438978,0.05524457,FINANCIAL PERFORMANCE FIRST,because yoy are a stockholder controlled unit…a lot of times we will tighten the belt around some of these things…these we try to put in place get pulled back
6e21f6cb-a6b3-4d5a-9033-9e6569f36567,0.41802663,0.113870785,0.04387205,RULES,i dont think i've made the case on this thing…now that we are starting to catch up vs our competition…now maye we can have a few resources to go do this…
7115446f-b1bc-4a66-9a3e-5ca5974a2f99,0.41817716,0.063719936,0.058704242,ENTREPRENEUR,the idea of doing something even if you didn't have the authority to do it is very much frowned upon inside XYL
71b7fdc3-191d-4ee6-b5a8-2b34f7737666,0.41109797,0.08997042,0.04413476,FINANCIAL PERFORMANCE FIRST,we're still investing in fixed speed motors that only have a life of two or three years...we should get rid of them and invest in smaller more efficient motors...and be a bit bolder about it
72c24c1a-192b-4403-b1f4-3a61856fb62b,0.40667376,0.10205243,0.045761973,(UNIQUE),"VOC can be misleading…we need to ask the next set of questions…we need to ask different kinds of question…e.g. the customer's real problem is storm water, not GPM"
7402ddcc-63a6-43dd-96e6-fc12c5640309,0.4171745,0.082310565,0.033261046,FINANCIAL PERFORMANCE FIRST,making it better
74dfcc9d-81b9-420f-85e4-c86396e96d8e,0.3738702,0.08152665,0.05616181,FIRST-HAND KNOWLEDGE,"from my point of view xylem has one bank account…i don't care about those divisions…others don't think like that (like me); they are thinking about their own little backyards, and that's where we lose quite a lot"
750491bc-f76c-485a-a191-09c83f93f1f8,0.4087002,0.09582668,0.058447808,CERTAINTY,in our space there are a lot more companies and so we can't dictate terms to the market…things can go in different directions…
752d0d56-e51e-441c-b3d3-ddf52c4932ac,0.41212592,0.08623322,0.025758618,ENTREPRENEUR,Simplify for Growth has tried to make some of those things easier
77346a79-b5d9-48c0-8737-93b898c6f174,0.37150425,0.08786507,0.057133175,ENTREPRENEUR,"In Xylem, if I follow the process I've done my bit, I am not responsible"
7c003708-325f-4603-8845-7791d52a0607,0.41612944,0.09942423,0.043634474,CERTAINTY,what areas are likely to win out in climate change..and what products can we put in to that
7cb272f2-ebde-4955-b17d-99dff10d4000,0.37322053,0.07386959,0.061202258,EXPERIMENT AND ITERATE,Xylem is not willing to invest in innovation…there is no route to even small pots of money to try out ideas
7f072157-add8-46d6-a9cc-abc9063431d7,0.40657905,0.06276941,0.030099753,ENTREPRENEUR,we want to spread the cultural approach to innovation from here (Cambridge)
830d8df7-57ed-422f-a108-7d79be9ee4a5,0.4286866,0.0587778,0.05833369,ENTREPRENEUR,they (sr mgt) are so amazinglyt risk averse
8772310a-ef5a-42da-8fdf-f9dbec87973d,0.41853514,0.048449017,0.05829142,ENTREPRENEUR,XPD is extremely prescripive and its all about managing the risk at product launch and to extent the financial risk...
8acd12b4-7a25-48c4-af51-199ea8b958a3,0.441915,0.097695634,0.061769124,CERTAINTY,how slow we are in everything
8de3736b-55d5-434d-90c9-b23b81a35967,0.41084936,0.114334844,0.04371576,ENTREPRENEUR,"starting point with product development is always telling the customer what the solution (i.e.how do we make the sensor better to create the data, etc)"
90a4434e-3c2f-4806-b5cb-5573b93d2baf,0.38487455,0.07212823,0.061244767,FINANCIAL PERFORMANCE FIRST,how do you promise EBITDA growth if value (of our services) goes negative?
90d89ec9-f452-4b25-b855-626a262efdde,0.4116408,0.09330406,0.04337109,ENTREPRENEUR,"if it doesn’t work we shall make the pump better (response of product engineer in Sweden)…but if someone comes up with a better way…not moving water maybe (e.g.), then what?"
910919c0-08f0-4784-b0e1-d64ddb0c90a5,0.39722455,0.1087961,0.048098963,CERTAINTY,sales and marketing people. Don't look out much…they don't have a good view od what's out there...VOC not helpful
917bd41d-d02f-473e-94c4-6836021e8b74,0.40010244,0.11846354,0.054758437,FINANCIAL PERFORMANCE FIRST,the financial model is a proxy for many things -- how good is the idea; our ability to win; alignment to strategy
94233790-fce3-4bfd-ba71-1f8daf47d825,0.37429303,0.08122482,0.05560812,FINANCIAL PERFORMANCE FIRST/ CERTAINTY,Xylem is a big company…Xylem is setting aside resources…Xylem Innovation Labs…that's (only) one piece of the innovation
9572f222-52c2-49e1-a749-d8979d18f4f4,0.4549693,0.11419562,0.048896726,CERTAINTY,"what is my ""strike zone""?..."
95a4e84c-be92-4929-9a87-368ee4249b10,0.4429352,0.12652068,0.059513014,FINANCIAL PERFORMANCE FIRST,"""do the math"""
96a70b52-f35e-4346-a7ee-f40d19958f93,0.37736288,0.08877838,0.05463245,ENTREPRENEUR,this is startup behavior.This is not xylem behavior.
981d32b6-6ad9-428e-b4d5-2ddafe9ebc75,0.4207422,0.12480026,0.03633289,ENTREPRENEUR,now we have strategy review with Sai…
98cccee2-27b7-449a-ab68-c58856cc1ae8,0.42181274,0.11086755,0.057199385,FINANCIAL PERFORMANCE FIRST/ CERTAINTY,let's have a little slack capacity we don't decide to throw out the first time the economy turns down
9b4f7f76-66e7-4db4-a810-855efeeb46de,0.39121318,0.0925575,0.06716372,FINANCIAL PERFORMANCE FIRST,it’s a commitment to the long term…this has certainly showed up in some of the surveys…
9bfc8719-f0b9-4caa-8f9d-796ff7d52cac,0.4396257,0.08014924,0.07175842,CERTAINTY,there is a lack of acceptance for some projects not to work
9d7c57ea-084e-4e4c-b94c-539d3331c0e3,0.42988187,0.09427178,0.029525507,THE SCIENTIFIC METHOD,I subsribe to Agile because it jells with my scientific background
a01f64f6-b378-43bd-b890-d74cf29d8926,0.3928198,0.103236176,0.07147628,FINANCIAL PERFORMANCE FIRST,in the long run everything comes down to money…everything will have monetary impact
a0822a31-750b-49b3-a6df-38776986409b,0.4036922,0.11032614,0.035547107,CERTAINTY,managing the funnel and sending engineers out with sales people (if I had more resources)
a1009646-901f-4dca-8eed-2d455f400fde,0.37246537,0.08342496,0.057317488,CERTAINTY,"Xylem doesn’t move fast, and that's a problem"
a1c9bcc8-da79-48e7-a73e-5524730ffb40,0.44033277,0.0761354,0.06448012,CERTAINTY,what works in one region doesn’t in another
a24f950f-94d6-49f5-9ff7-802f9c42f0de,0.3960967,0.09410902,0.036213856,CERTAINTY,the world is moving quick; I would be trying to work on (ecommerce) faster
a37fe59d-d350-4e86-b2bc-8562cf8d15b3,0.4335912,0.08362277,0.046887655,(RULES),"we should trust our own people, and their decision making"
a3934741-b616-4277-8c63-6c0a4b955ad5,0.4067342,0.1089881,0.037326787,FINANCIAL PERFORMANCE FIRST,i don't have additional resources to get out in front of it (the customer's true pain points)
a4a5556b-ab37-40c1-b545-a1258009ce10,0.4376712,0.08454095,0.05345675,RULES,The children need to resolve their own disputes (rather than go to Dad)
a5de92c6-a6c0-4bf6-a779-a40c0ffa6de9,0.41357186,0.10329212,0.031969186,CERTAINTY,we are in a bad hybrid situation... We need to decide...either become one company or not...or divide us...or have separate P&L for each...autonomy but strict control at the same time doesn’t work.
a8a73aaf-9de3-4f0d-9ba2-38e7675b618f,0.44378993,0.122642145,0.06070033,ENTREPRENEUR,the very honest answer is 'I have no idea….'
a9f5aa37-3459-4d1b-8bdb-d044515007f1,0.3864043,0.08617834,0.05965769,ENTREPRENEUR,the long term and most successful route is when the customer is buying the service
ae9b79ec-cd7e-48d1-8256-5a9b98818508,0.37991685,0.08948738,0.08510444,CERTAINTY,"I can make the case that a 10-15M investment will give you 100M, but that is not a risk anyone will take. That is barely keeping is competititive"
aec404c1-d4b0-41e6-9e80-3780ea1aa3c5,0.40448853,0.09015423,0.036795422,RULES,"we are going to get more savings by managing processes, footprint, to fund innovation"
b2e70908-93a3-4d21-a818-4fd530079a89,0.44129413,0.07444337,0.0459428,CERTAINTY/FIRST-HAND KNOWLEDGE,"if I did this, they may might really like That…you have to be in it to figure it out"
b319c03d-690c-4411-b701-1a914e71a95f,0.4105237,0.066070475,0.029927008,ENTREPRENEUR,"it is much easier when you are a hardware pump company to create certainty, and a lot of the things they do are incremental"
b997270d-053e-4931-b6ba-70e907f74a22,0.4115201,0.09634606,0.041888688,CERTAINTY,customer systems are the next stage for us to figure out innovative solutions…we're doing it this way today…is there a new way to do it (tomorrow)…(e.g.) maybe we can eliminate valves?
bbb36151-ac2d-43f7-8f06-c92aae22b166,0.41858378,0.10157541,0.062993445,CERTAINTY,I don't sell what we don't have
bc2ee83b-1308-4de1-8580-036b7cf5e2bf,0.40240678,0.10141328,0.026322018,CERTAINTY,"even if you figure out what companies are the right ones to invest in, you still have to look at pain points"
bd284a3e-d018-4d7b-8abc-1e1568b41e2c,0.37385106,0.08428195,0.08335042,FINANCIAL PERFORMANCE FIRST,no one wants to put any investment into something that doesn’t achieve a return in 12-24 months
bd463bdd-9bb8-4c43-b818-434ed7d41637,0.4317449,0.0659338,0.05614787,CERTAINTY,...that's the risk / uncertainty... We don't dare to step outside normal ways of doing things
c19194a2-c09d-4bd3-96d8-84339d576f6b,0.41623116,0.08019646,0.07102703,FIRST-HAND KNOWLEDGE,nobody tells GCs not to spend money...i.e. Avensor
c40539db-1d5e-4347-b869-f981abf33203,0.41621226,0.10276033,0.03888891,RULES,if we made ourselves more productive we may be able to take those solutions to the market
c55fc7bb-7065-478e-96c6-9ec224896e0f,0.40641066,0.09830691,0.05001785,CERTAINTY,I'm not sure our markets are ready for 'I'm going to turn over my wastewater treatment plant to you and you optimize my cost for that…'
c8d342ab-df72-4709-b2da-eb57ec03a541,0.42074734,0.10820192,0.050977185,CERTAINTY,what are we missing in the unaddressd 5B? (we don't really know our markets)
cb843bfb-dda9-451e-8319-01fa1846d0b4,0.43539703,0.11615896,0.03310542,CERTAINTY,"you have to have a good spread across the whole lot (horizon 1, 2 and 3)"
cd0434c0-88e8-4f3c-86af-77ae451bfd57,0.42067397,0.10135306,0.07775316,FIRST-HAND KNOWLEDGE,everyone is always special...
d034eaef-c20d-4b74-b7b3-354fed044530,0.41384292,0.117142834,0.046505895,ENTREPRENEUR,we can move the customer away from 'break-fix' because they don't have to be involved (in predictive solution)
d03b8bf5-f6f1-4455-88a7-7315145c157c,0.41622537,0.10204697,0.028789457,CERTAINTY/FIRST-HAND KNOWLEDGE,Goulds was innovative: we were always talking to the maintenance people because they know what is really going on
d0c1649e-68a5-4d0c-b7dc-24c9cc6635a9,0.42563105,0.05231001,0.057114456,ENTREPRENEUR,(operating within XPD) would not be beneficial for what we do
d4acfca5-88f3-4b7d-ad76-13d9603e26e8,0.39220276,0.05023386,0.04529451,FINANCIAL PERFORMANCE FIRST/CERTAINTY,utilities are not seeking major innovation...if NPD makes only 50% of the business case...
d5893fcb-c41e-4540-b27d-430db0acd96b,0.37498295,0.08018361,0.04814399,CERTAINTY,we need to have a digital enteroprise mentality from the top down
d5ddedaf-f0a0-401c-8dd0-54e2d4885348,0.4342188,0.07346433,0.051292986,ENTREPRENEUR,I would have given them the authority
d726b7df-8819-4f14-a3dd-467374d2bca3,0.4022789,0.11069761,0.041988585,FINANCIAL PERFORMANCE FIRST/ CERTAINTY,marketingteams inside sales teams should be able to work with my team…and they don't have capacity either…you just have to invest! You need capacity to go take a look…
d7c8128e-45b5-48e8-be37-d0feeae44d52,0.43647143,0.12376877,0.04510331,CERTAINTY,we need to pick the spot where we think (the need) is going to be real (real solutions)
d9b8451b-69b0-4211-8ff4-a6a755403ebe,0.40422857,0.0990854,0.027868737,CERTAINTY,I know that the key to innovation is observing true customer pain points
dad65c94-6aaa-494a-9a1d-946e05e1b2b0,0.41516703,0.06358607,0.05778095,CERTAINTY/FINANCIAL PERFORMANCE FIRST,we find ways to break processes inside XYL but most people are not willing to do that (story of buying single component on credit card)
dd90722a-2b31-4877-92cd-445f5ac519e4,0.42569813,0.11465459,0.039431367,RULES,without an org structure in place to (mitigate) against different priorities
ded03ee9-4aa3-4229-9965-2260e7860e20,0.42030674,0.11204773,0.036508843,FINANCIAL PERFORMANCE FIRST,"product roadmaps challenges by available spend, customer adaptability and use"
df9051eb-80bf-406d-914f-5f581713e9b2,0.42179793,0.11620512,0.04018667,CERTAINTY,what is the problem are we really solving? The roadmap should be what problems are we trying to solve for customers that they really value
e1519a3a-fbea-4ffc-946b-1ffedd013be6,0.4155083,0.100597605,0.04451026,UNK,we know climate change and energy efficiency are real needs
e1843f5e-dd2f-47e8-9fcb-e5e9cbdf9851,0.3901953,0.10749598,0.07282739,ENTREPRENEUR,so who gets the profit out of that?
e20dd037-f70b-43a9-b645-28c4b746067e,0.36764386,0.08329211,0.053967945,FINANCIAL PERFORMANCE FIRST,xylem thinks about hiow not to spend money and how to make money...how we can we get to 50% digital if we don't spend money...we have no chance of meeting that
e362aded-3e1b-40e9-b590-3e00e3dbcee1,0.4054809,0.056999363,0.032778617,ENTREPRENEUR,breakthrough innovation here is incremental
e37beb04-a705-4e7e-abae-8f1c6b859555,0.430645,0.061191306,0.057900567,ENTREPRENEUR,it is ok to take risk...its required
e77e8318-b408-484a-95c4-41dec949b88a,0.40716237,0.0834317,0.04232002,CERTAINTY,I would link up with Amazon to get all our equipment on line…that wolud be most helpful for us
eba06591-598d-4f70-abbd-420ac0eef2b0,0.4186864,0.07096125,0.036868896,ENTREPRENEUR,my role is to run this little start up
ec267a43-7cac-4cfd-986f-fc6b25e245cf,0.43425915,0.07347309,0.038047343,EXPERIMENT AND ITERATE,…but we need larger scale pilots
edb465ab-b167-4843-a041-75c8c6605519,0.36876994,0.08671462,0.052838083,CERTAINTY,"digital is just a tool….lets go out and find pay points…we're trying to push digital out, rather than saying…if we could cut customer costs in half…but we're not doing that"
efd2d6a6-8fd2-4ccb-9e7b-5189789c676c,0.4033504,0.05452779,0.033924166,ENTREPRENEUR,we largely focus on doing product development work and where there is a mechanism in place we do innovation stuff
f03e32ee-5355-445c-b810-6b11fe749509,0.38886356,0.08589577,0.04322744,CERTAINTY,(beta vs vhs cartridge analogy)
f3300092-46e9-472e-9c23-033f6a746ad4,0.39572266,0.10579513,0.068007246,FINANCIAL PERFORMANCE FIRST,people's happiness is equated with productivity and all of a sudden you get to the dollar
f4a29793-0ab8-4d22-ba36-f0f97685b50e,0.3678758,0.080368906,0.053970728,FINANCIAL PERFORMANCE FIRST,we should be investing (much more) in digital..we are well below industry standards…we can't do it without investing money...we have to r
f559d5f1-2827-4d55-b213-31cbf443654b,0.40188983,0.05728418,0.057125837,CERTAINTY,"we are not brave enough, we are too risk averse to say 'that needs to change' (stop doing local digital work)...not rocking the boad"
f5b7940a-4703-4512-b085-0a3816a540cf,0.3714054,0.088288814,0.05695743,ENTREPRENEUR,At xylem we stop at the data or information stage
f91f3aa2-1cfb-45f7-b51d-f49f74dd9a67,0.41798022,0.13119794,0.03699995,ENTREPRENEUR,strategy is often equated with plan
f968ede2-ee79-45b8-9ed0-7f94d806dd07,0.4203028,0.107905835,0.030874738,CERTAINTY/RULES,(because we don't hold people accountable) we need a P&L structure to hold people accountable and set priorities
fa30da0b-adaa-4cd4-8baa-f6c810cec246,0.39819974,0.098277934,0.04768754,CERTAINTY,"we need to look at the industrial systems…not in Xylem terms, but in customer problem terms…those things will lead to 'we might be able to solve it this way…'. We don't get into that…enough"
fb2e3a32-c096-4485-b8fe-be175f013ef3,0.43277794,0.072229974,0.052163124,ENTREPRENEUR,"you cannot have the normal procedures intruding on the (agile, entrepreuneial) approach because it removes a lot of the benefits"
fe660cf7-266c-4a48-81ae-51e60d9c5876,0.40866086,0.06304781,0.05751426,FINANCIAL PERFORMANCE FIRST,"integration with XYL - much harder, bc XYL spend on R&D is 3 and a bit"
fee0dfd8-ab1b-4d21-a160-454b400244d1,0.39673656,0.051643785,0.044875003,ENTREPRENEUR,it's not big picture stuff (we don't do big picture innovation)
