UMAP_1,UMAP_2,Dominant_Logic,Passage_Wrapped
0.09030728,3.2939222,CERTAINTY,And then getting to the real pain point for the customer to innovate around that<br>we don't get good d...
11.275186,1.6866801,FINANCIAL PERFORMANCE FIRST,large parts of the business don't account for the cost of labor...difficlult to<br>engage with broader ...
0.98167455,1.394951,ENTREPRENEUR,ideally you would form a team that came from different parts of the business to<br>deliver that particu...
3.8912034,4.356915,FINANCIAL PERFORMANCE FIRST,non financial value is not enough to drive change
1.3684694,6.419276,CERTAINTY,most new solutions go out the window in our market (water industry is old<br>school)
1.2803243,3.2170641,ENTREPRENEUR,Sensus is doing (interesting) R&D work…
11.312771,1.6474202,FINANCIAL PERFORMANCE FIRST,CTs are kings and heroes and sell whatever they want (XYL never kills products)
4.86328,4.081667,FINANCIAL PERFORMANCE FIRST,shareholders are in it for the short term rather than the long term
8.350604,5.4120507,CERTAINTY,put people who move fast and are not afraid to take a little bit of risk in that<br>DGC
4.9450135,3.804334,CERTAINTY,utility customers spend public money; they are constrained
2.1811914,2.1588793,FINANCIAL PERFORMANCE FIRST,will the remaining make the business case in 7 years?
7.884652,4.66557,ENTREPRENEUR,I give her (Sivan) air cover and deflect any incoming flak
1.8780993,2.355767,FINANCIAL PERFORMANCE FIRST,I think resources certainly get in the way
8.431779,4.860412,CERTAINTY,I would be more happy to be unhappy...we go rogue because we have to (because<br>decisions aren't made ...
0.8177782,4.077649,CERTAINTY,lets really invest time to find out what our customers and key markets would<br>like us to do for them…...
0.47003046,2.0648937,CERTAINTY,what we don't know is how the customer is solving it
2.2783234,2.6823645,CERTAINTY,whats the market really ready for? We should work at the pace at which the marke<br>is ready
1.1538683,3.9741123,CERTAINTY,before Microsoft and Apple did that (dictated to the market) they saw enough<br>trends to see where the...
3.2102134,4.322851,ENTREPRENEUR,next generation products are not innovation
8.242166,4.1561813,ENTREPRENEUR,people got fed up and left
0.99236727,1.2939961,CERTAINTY,there is no good or bad answer; it's just how you implement it (franchise vs<br>centralized)
2.1648526,1.748054,FINANCIAL PERFORMANCE FIRST,we have made a bet in our marketing plan…and then we'll see…but we need a little<br>more slack capacity
8.129463,3.9968605,ENTREPRENEUR,…and it rubbed some people the wrong way (jealousy)
0.33237487,2.2192192,CERTAINTY,its how you solve those real problems…you need to live in the customer/user<br>environment to figure th...
1.9919323,2.143561,CERTAINTY,"we need to be practical first; ask, 'why do you believe this can be sold again?'"
3.726341,0.93696517,CERTAINTY,(2) ..instead we do a little bit of both
8.261228,3.487697,FINANCIAL PERFORMANCE FIRST,"culture here is if i do it with my team i increase my budget, or if i let<br>someone else do it I will ..."
8.210835,3.5458167,FINANCIAL PERFORMANCE FIRST,if I don't put it in the budget it won't get funded
0.23821877,3.6820483,CERTAINTY,if we did (get good customer pain point data) we would innovate more
1.3097593,1.8341066,CERTAINTY,There are 3 different versions of need; NPD is the intersection of 3 segments<br>(reuse example)
0.1514347,2.8710046,FINANCIAL PERFORMANCE FIRST,"I'll try to get enough capacity so I can send people out…(Goulds story from<br>younger days….""maybe it ..."
8.186067,5.0157843,CERTAINTY,the way it has worked in the past doesn’t have to be the way it works today
1.1774266,7.325605,FINANCIAL PERFORMANCE FIRST,you have to demonstrate Xylem value to drive change
1.9342461,1.9072844,FINANCIAL PERFORMANCE FIRST,"but even if we have a nice opportunity, we haven't really sent people out to the<br>10 top WSHP compani..."
1.05577,7.3237495,ENTREPRENEUR,what brings value to the customer? The xylem solutions stop at the problem<br>stage. If I can show you ...
1.2032871,4.136103,CERTAINTY,people want to engage with humans in a buying decision…the generation that has<br>the buying power is u...
5.059975,3.9638164,CERTAINTY,"we sprinkle out investment,  1M here, 1M there..."
0.9281566,3.0076408,FINANCIAL PERFORMANCE FIRST,The commercial teams are trying to meet today's sales and orders objectives.<br>They are very near-term...
8.289822,5.231477,ENTREPRENEUR,"trying to something radically different (to the norm), when you get down to it,<br>is often really hard"
0.06406124,3.4300978,CERTAINTY,we need people who's full time job is to look at pain points…to see what the<br>pain points really look...
0.7878127,2.056604,ENTREPRENEUR,there are many reasons why our customers behave in an ineffective way…our<br>solutuon may not be a magi...
11.220575,1.6878307,ENTREPRENEUR,the processes and traditions in XYL stand in the way of that (entrep and risk)
3.5208852,0.9267606,FINANCIAL PERFORMANCE FIRST,"we have to meet the quarter...which is pressure, so working the space you know<br>(vs what you don't) i..."
10.67841,1.8502772,CERTAINTY,eadh plant goes through their own process of selection...and it is very time<br>consuming
2.609533,3.341109,CERTAINTY,how many future regulatory frameworks are coming and how do we optimize?
8.323267,3.406611,FINANCIAL PERFORMANCE FIRST,everybody wants their own budgets...we never think can we pull together to make<br>the pie bigger...
8.199153,3.5661602,FINANCIAL PERFORMANCE FIRST,if you don't get written in to budgets you don't sell any work no matter how<br>hard you try
11.065292,1.6947019,FINANCIAL PERFORMANCE FIRST,because yoy are a stockholder controlled unit…a lot of times we will tighten the<br>belt around some of...
11.238046,1.4434987,ENTREPRENEUR,the idea of doing something even if you didn't have the authority to do it is<br>very much frowned upon...
2.858534,3.58134,FINANCIAL PERFORMANCE FIRST,we're still investing in fixed speed motors that only have a life of two or<br>three years...we should ...
2.8909519,3.6727376,FINANCIAL PERFORMANCE FIRST,making it better
1.9848472,1.9683154,CERTAINTY,in our space there are a lot more companies and so we can't dictate terms to the<br>market…things can g...
2.9295774,3.6244612,ENTREPRENEUR,Simplify for Growth has tried to make some of those things easier
1.1672801,7.442419,ENTREPRENEUR,"In Xylem, if I follow the process I've done my bit, I am not responsible"
2.7879248,3.5011733,CERTAINTY,what areas are likely to win out in climate change..and what products can we put<br>in to that
2.9833145,4.0342174,ENTREPRENEUR,we want to spread the cultural approach to innovation from here (Cambridge)
8.118139,5.300157,ENTREPRENEUR,they (sr mgt) are so amazinglyt risk averse
11.599707,1.4815316,ENTREPRENEUR,XPD is extremely prescripive and its all about managing the risk at product<br>launch and to extent the...
3.971806,1.1335572,CERTAINTY,how slow we are in everything
0.31864575,2.4139817,ENTREPRENEUR,starting point with product development is always telling the customer what the<br>solution (i.e.how do...
4.633671,4.0612154,FINANCIAL PERFORMANCE FIRST,how do you promise EBITDA growth if value (of our services) goes negative?
1.3757595,6.3480706,ENTREPRENEUR,if it doesn’t work we shall make the pump better (response of product engineer<br>in Sweden)…but if som...
0.78751653,3.102767,CERTAINTY,sales and marketing people. Don't look out much…they don't have a good view od<br>what's out there...VO...
5.1519785,3.3759503,FINANCIAL PERFORMANCE FIRST,the financial model is a proxy for many things -- how good is the idea; our<br>ability to win; alignmen...
3.4969888,0.81514114,CERTAINTY,"what is my ""strike zone""?..."
3.5912447,0.96336496,FINANCIAL PERFORMANCE FIRST,"""do the math"""
1.18763,7.4661746,ENTREPRENEUR,this is startup behavior.This is not xylem behavior.
1.6437122,1.5195757,ENTREPRENEUR,now we have strategy review with Sai…
5.224201,3.5645761,FINANCIAL PERFORMANCE FIRST,it’s a commitment to the long term…this has certainly showed up in some of the<br>surveys…
8.397969,4.7489047,CERTAINTY,there is a lack of acceptance for some projects not to work
5.287716,3.4506698,FINANCIAL PERFORMANCE FIRST,in the long run everything comes down to money…everything will have monetary<br>impact
0.58768994,2.9305658,CERTAINTY,managing the funnel and sending engineers out with sales people (if I had more<br>resources)
1.2402955,7.478368,CERTAINTY,"Xylem doesn’t move fast, and that's a problem"
8.422915,4.78087,CERTAINTY,what works in one region doesn’t in another
0.6021087,3.7200224,CERTAINTY,the world is moving quick; I would be trying to work on (ecommerce) faster
0.0069649154,3.222231,FINANCIAL PERFORMANCE FIRST,i don't have additional resources to get out in front of it (the customer's true<br>pain points)
1.0103778,1.1195232,CERTAINTY,we are in a bad hybrid situation... We need to decide...either become one<br>company or not...or divide...
3.6241527,0.96979624,ENTREPRENEUR,the very honest answer is 'I have no idea….'
4.7350163,3.7400343,ENTREPRENEUR,the long term and most successful route is when the customer is buying the<br>service
5.1424174,4.126717,CERTAINTY,"I can make the case that a 10-15M investment will give you 100M, but that is not<br>a risk anyone will ..."
2.9785867,4.344585,ENTREPRENEUR,"it is much easier when you are a hardware pump company to create certainty, and<br>a lot of the things ..."
1.2277248,6.5046983,CERTAINTY,customer systems are the next stage for us to figure out innovative<br>solutions…we're doing it this wa...
2.0142334,2.0551262,CERTAINTY,I don't sell what we don't have
-0.08923951,3.3734848,CERTAINTY,"even if you figure out what companies are the right ones to invest in, you still<br>have to look at pai..."
5.0630407,4.2148275,FINANCIAL PERFORMANCE FIRST,no one wants to put any investment into something that doesn’t achieve a return<br>in 12-24 months
8.5889435,5.183463,CERTAINTY,...that's the risk / uncertainty... We don't dare to step outside normal ways of<br>doing things
1.2425154,6.6791253,CERTAINTY,I'm not sure our markets are ready for 'I'm going to turn over my wastewater<br>treatment plant to you ...
1.7316215,2.1297295,CERTAINTY,what are we missing in the unaddressd 5B? (we don't really know our markets)
1.1506536,1.1801856,CERTAINTY,"you have to have a good spread across the whole lot (horizon 1, 2 and 3)"
0.30865008,2.180777,ENTREPRENEUR,we can move the customer away from 'break-fix' because they don't have to be<br>involved (in predictive...
11.375007,1.7966073,ENTREPRENEUR,(operating within XPD) would not be beneficial for what we do
1.2864746,5.5334806,CERTAINTY,we need to have a digital enteroprise mentality from the top down
7.9165134,4.6052384,ENTREPRENEUR,I would have given them the authority
1.5193218,1.7130587,CERTAINTY,we need to pick the spot where we think (the need) is going to be real (real<br>solutions)
-0.10691115,3.4626937,CERTAINTY,I know that the key to innovation is observing true customer pain points
0.18205142,2.5478241,FINANCIAL PERFORMANCE FIRST,"product roadmaps challenges by available spend, customer adaptability and use"
0.12776442,2.270136,CERTAINTY,what is the problem are we really solving? The roadmap should be what problems<br>are we trying to solv...
5.2635655,3.4292796,ENTREPRENEUR,so who gets the profit out of that?
1.4635018,6.2202644,FINANCIAL PERFORMANCE FIRST,xylem thinks about hiow not to spend money and how to make money...how we can we<br>get to 50% digital ...
3.0539575,4.45592,ENTREPRENEUR,breakthrough innovation here is incremental
8.268718,5.360678,ENTREPRENEUR,it is ok to take risk...its required
1.0283086,4.374955,CERTAINTY,I would link up with Amazon to get all our equipment on line…that wolud be most<br>helpful for us
3.1589642,3.9944463,ENTREPRENEUR,my role is to run this little start up
1.2550584,5.7938056,CERTAINTY,"digital is just a tool….lets go out and find pay points…we're trying to push<br>digital out, rather tha..."
2.8534472,4.2345495,ENTREPRENEUR,we largely focus on doing product development work and where there is a<br>mechanism in place we do inn...
1.2087344,5.8198433,CERTAINTY,(beta vs vhs cartridge analogy)
5.3930097,3.5817962,FINANCIAL PERFORMANCE FIRST,people's happiness is equated with productivity and all of a sudden you get to<br>the dollar
1.3405149,5.597275,FINANCIAL PERFORMANCE FIRST,we should be investing (much more) in digital..we are well below industry<br>standards…we can't do it w...
3.588818,4.5363207,CERTAINTY,"we are not brave enough, we are too risk averse to say 'that needs to change'<br>(stop doing local digi..."
1.1145588,7.561823,ENTREPRENEUR,At xylem we stop at the data or information stage
1.2886536,1.4136025,ENTREPRENEUR,strategy is often equated with plan
1.3117163,6.630703,CERTAINTY,"we need to look at the industrial systems…not in Xylem terms, but in customer<br>problem terms…those th..."
8.259653,5.056962,ENTREPRENEUR,"you cannot have the normal procedures intruding on the (agile, entrepreuneial)<br>approach because it r..."
11.367014,1.5521702,FINANCIAL PERFORMANCE FIRST,"integration with XYL - much harder, bc XYL spend on R&D is 3 and a bit"
3.4374921,4.489496,ENTREPRENEUR,it's not big picture stuff (we don't do big picture innovation)
